sampling_mode,sample_size_requested,sampling_interpretation,feature,class_a,class_b,random_state,decision_alpha_0_05,n_class_a,n_class_b,mean_class_a,mean_class_b,var_class_a,var_class_b,mean_difference,standard_error,welch_df,student_t_statistic,student_p_value,welch_t_statistic,welch_p_value,ci_95_low,ci_95_high,cohens_d,hedges_g,pairwise_fisher_distance,shapiro_class_a_statistic,shapiro_class_a_p_value,shapiro_class_b_statistic,shapiro_class_b_p_value,levene_statistic,levene_p_value
per_class,36,n=36 samples were drawn from each class.,_HarmonicChangeDetectionFunction_Std,angry,relax,1042,Reject H0,36,36,-1.010549634699263,0.8570084653672615,0.34618985681852976,0.7336264958680929,-1.8675581000665247,0.17319035390500107,62.01624328869539,-10.783268571013625,1.582397741209631e-16,-10.783268571013624,7.444372270923927e-16,-2.2137588808016613,-1.5213573193313878,-2.5416407766363944,-2.514311305919874,3.229968918736181,0.9665905947694903,0.33986502793164697,0.9404591923986144,0.05250005367246635,2.657164903353503,0.10757632635123016
per_class,64,n=64 samples were drawn from each class.,_HarmonicChangeDetectionFunction_Std,angry,relax,2042,Reject H0,64,64,-0.942285064701209,0.8623967956066289,0.43767470183138724,0.4907385631774587,-1.8046818603078378,0.12044275514020433,125.58965562159374,-14.983731136065874,8.969893866449767e-30,-14.983731136065874,9.713648550382998e-30,-2.0430420827929723,-1.5663216378227036,-2.648774473443171,-2.6329766137606074,3.5080031055885645,0.9656161805593607,0.07142894758409671,0.9867034519088622,0.7224962369043195,0.22139153638722966,0.6387951572799729
total_balanced,36,n=36 total samples were drawn as a balanced two-class sample: 18+18.,_HarmonicChangeDetectionFunction_Std,angry,relax,3042,Reject H0,18,18,-1.1371939757734972,0.9557078109931904,0.5908544904860478,0.41117184064316004,-2.0929017867666877,0.23594094495694937,32.940775572825245,-8.870447590809498,2.2874398250865387e-10,-8.870447590809498,3.025858911559026e-10,-2.572960036895889,-1.6128435366374863,-2.9568158635990316,-2.891108844407942,4.371380025623304,0.959238101148962,0.5869874447209535,0.890145532923906,0.038814988759812596,0.08020518517308389,0.7787368067123297
total_balanced,64,n=64 total samples were drawn as a balanced two-class sample: 32+32.,_HarmonicChangeDetectionFunction_Std,angry,relax,4042,Reject H0,32,32,-1.0068335448790098,0.6988516826172787,0.5130932531500261,0.47740294203473516,-1.7056852274962884,0.1759346642919575,61.91960207385601,-9.694992367540275,4.869929296455375e-14,-9.694992367540275,4.9349537610513793e-14,-2.0573826940070132,-1.3539877609855637,-2.423748091881644,-2.3943098559478586,2.9372774064552893,0.9370979136285436,0.06195928197833713,0.9649712876049436,0.37326195182373334,0.13006531127336543,0.7195901912096555
