k,inertia,method,adjusted_rand_index,normalized_mutual_info,homogeneity,completeness,v_measure,silhouette_score,n_clusters_detected,n_noise_points
2,2847.85766009132,KMeans_on_PCA2D_k2,0.11140765446043359,0.14580625537351233,0.1085435536295621,0.22202777718001754,0.14580625537351233,0.3860350681286153,2,0
3,1983.0087107275297,KMeans_on_PCA2D_k3,0.21339846105658278,0.25710800884980783,0.22772590418026487,0.29519528178719273,0.2571080088498078,0.3777799413019021,3,0
4,1387.7831667646687,KMeans_on_PCA2D_k4,0.21669021311869188,0.26648333345612724,0.2651869669271002,0.2677924368251558,0.2664833334561273,0.3845439074736026,4,0
5,1143.8240438381765,KMeans_on_PCA2D_k5,0.21453050515371086,0.27560137706816334,0.29328651571540143,0.25992776663955386,0.27560137706816334,0.36512420116102934,5,0
6,993.6036263534326,KMeans_on_PCA2D_k6,0.17718618648638834,0.2596639467440997,0.29460774822343355,0.23213063544712678,0.2596639467440997,0.3404502768175338,6,0
7,857.211233637496,KMeans_on_PCA2D_k7,0.1620233417430926,0.261805442932373,0.31142204252544786,0.22582620326694464,0.26180544293237307,0.3494864072573606,7,0
8,744.9898439280788,KMeans_on_PCA2D_k8,0.1574498932816062,0.27836022616938705,0.34405546283998517,0.23373079427403826,0.27836022616938705,0.34762125194437954,8,0
9,656.2725309486881,KMeans_on_PCA2D_k9,0.1255153540947487,0.2576215301100842,0.33042810465976796,0.21110633162979484,0.25762153011008415,0.34530848294228134,9,0
10,591.2942523206477,KMeans_on_PCA2D_k10,0.1283088062150488,0.2617604599212524,0.3434987470184576,0.21144534174666693,0.2617604599212524,0.35540830401143636,10,0
