k,inertia,adjusted_rand_index,normalized_mutual_info,silhouette_score,n_clusters_detected,n_noise_points
2,2847.85766009132,0.11140765446043359,0.14580625537351233,0.3860350681286153,2,0
3,1983.0087107275297,0.21339846105658278,0.25710800884980783,0.3777799413019021,3,0
4,1387.7831667646687,0.21669021311869188,0.26648333345612724,0.3845439074736026,4,0
5,1143.8240438381765,0.21453050515371086,0.27560137706816334,0.36512420116102934,5,0
6,993.6036263534326,0.17718618648638834,0.2596639467440997,0.3404502768175338,6,0
7,857.211233637496,0.1620233417430926,0.261805442932373,0.3494864072573606,7,0
8,744.9898439280788,0.1574498932816062,0.27836022616938705,0.34762125194437954,8,0
9,656.2725309486881,0.1255153540947487,0.2576215301100842,0.34530848294228134,9,0
10,591.2942523206477,0.1283088062150488,0.2617604599212524,0.35540830401143636,10,0
