n_class_a,n_class_b,mean_class_a,mean_class_b,var_class_a,var_class_b,mean_difference,standard_error,welch_df,t_statistic,p_value,feature,class_a,class_b,sample_size_per_class,cohens_d,decision_alpha_0_05
36,36,-1.1306536576898514,0.9878148270401792,0.498883747263311,0.5824656240410632,-2.1184684847300304,0.1733132497422878,69.58427235682245,-12.223349847055186,5.439887701172862e-19,_HarmonicChangeDetectionFunction_Std,angry,relax,36,-2.881071188552192,Reject H0
64,64,-1.024559293321618,1.0015271984769143,0.5113285013250357,0.603671419510783,-2.0260864917985324,0.1319919458264771,125.14160825436389,-15.350076696816956,1.4841899145690605e-30,_HarmonicChangeDetectionFunction_Std,angry,relax,64,-2.713535831009594,Reject H0
