feature,PC1_loading,abs_loading
_EntropyofSpectrum_Mean,0.3151331438539354,0.3151331438539354
_Spectralcentroid_Mean,0.310595449754892,0.310595449754892
_Spectralskewness_Mean,-0.3014288884508809,0.3014288884508809
_Brightness_Mean,0.29884721853113255,0.29884721853113255
_Spectralkurtosis_Mean,-0.2930022942028814,0.2930022942028814
_Rolloff_Mean,0.29180008323156126,0.29180008323156126
_MFCC_Mean_1,-0.27588506789848755,0.27588506789848755
_Spectralspread_Mean,0.2525252092178522,0.2525252092178522
_Zero-crossingrate_Mean,0.2512101486556325,0.2512101486556325
_Spectralflatness_Mean,0.18724473595955898,0.18724473595955898
_HarmonicChangeDetectionFunction_PeriodAmp,0.18300765613222036,0.18300765613222036
_Eventdensity_Mean,0.18029186070714964,0.18029186070714964
_Pulseclarity_Mean,0.1654120432981137,0.1654120432981137
_HarmonicChangeDetectionFunction_Std,-0.1379815587386939,0.1379815587386939
_Roughness_Mean,0.13227579911810114,0.13227579911810114
_RMSenergy_Mean,0.10792195316056791,0.10792195316056791
_AttackTime_Mean,-0.09711923715044944,0.09711923715044944
_MFCC_Mean_3,-0.09423636094896702,0.09423636094896702
_Chromagram_Mean_9,0.09050610882996113,0.09050610882996113
_Chromagram_Mean_11,0.08960180509603016,0.08960180509603016
_Chromagram_Mean_2,0.06798489301559596,0.06798489301559596
_HarmonicChangeDetectionFunction_PeriodFreq,0.05932300826710486,0.05932300826710486
_Chromagram_Mean_4,0.058810435176315824,0.058810435176315824
_HarmonicChangeDetectionFunction_Mean,0.05740310574493169,0.05740310574493169
_MFCC_Mean_11,0.05169115830208099,0.05169115830208099
_Chromagram_Mean_1,0.05082780773683569,0.05082780773683569
_Chromagram_Mean_8,0.04707242598440694,0.04707242598440694
_Chromagram_Mean_12,0.0431212544148996,0.0431212544148996
_Chromagram_Mean_6,0.04052633842627997,0.04052633842627997
_MFCC_Mean_7,-0.03831194350501766,0.03831194350501766
_Chromagram_Mean_10,0.03673183490392542,0.03673183490392542
_Lowenergy_Mean,-0.03442909267051042,0.03442909267051042
_HarmonicChangeDetectionFunction_PeriodEntropy,0.033947472791471235,0.033947472791471235
_Chromagram_Mean_7,0.03292831571126406,0.03292831571126406
_MFCC_Mean_9,-0.03268395982031418,0.03268395982031418
_Tempo_Mean,0.03009693510270306,0.03009693510270306
_HarmonicChangeDetectionFunction_Slope,-0.027694049164058678,0.027694049164058678
_Chromagram_Mean_3,0.027416807512461342,0.027416807512461342
_MFCC_Mean_13,-0.02653522864257169,0.02653522864257169
_MFCC_Mean_6,-0.025583981352455907,0.025583981352455907
_Roughness_Slope,-0.025389259636732244,0.025389259636732244
_MFCC_Mean_8,0.018621485160536175,0.018621485160536175
_Chromagram_Mean_5,0.016615373066419248,0.016615373066419248
_MFCC_Mean_10,0.015607619907700132,0.015607619907700132
_MFCC_Mean_2,0.015249986478180088,0.015249986478180088
_MFCC_Mean_4,-0.011548742369027852,0.011548742369027852
_AttackTime_Slope,0.009181579491315026,0.009181579491315026
_MFCC_Mean_5,-0.0026042950007247336,0.0026042950007247336
_Fluctuation_Mean,0.002475676209370059,0.002475676209370059
_MFCC_Mean_12,7.750868007448684e-05,7.750868007448684e-05
