feature,class_a,class_b,sample_size_per_class,random_state,student_t_statistic,student_p_value,welch_t_statistic_scipy,welch_p_value_scipy,decision_alpha_0_05,shapiro_class_a_statistic,shapiro_class_a_p_value,shapiro_class_b_statistic,shapiro_class_b_p_value,levene_statistic,levene_p_value,n1,n2,mean1,mean2,var1,var2,mean_difference,standard_error,welch_t_statistic_manual,welch_df_manual,welch_p_value_manual,ci_95_low,ci_95_high,cohens_d,hedges_g,pairwise_fisher_distance
_HarmonicChangeDetectionFunction_Std,angry,relax,36,42,-12.223349847055186,4.930974838436594e-19,-12.223349847055186,5.439887701172862e-19,Reject H0,0.9931795669773212,0.9981907832745829,0.9605522906943392,0.2235577452158743,0.264302418366891,0.6087988468034213,36,36,-1.1306536576898514,0.9878148270401792,0.498883747263311,0.5824656240410632,-2.1184684847300304,0.1733132497422878,-12.223349846984656,69.58427235682245,5.439894620921522e-19,-2.464167172997824,-1.7727697964622369,-2.881071188552192,-2.850091928460233,4.150285596760161
_HarmonicChangeDetectionFunction_Std,angry,relax,64,43,-15.36337155460879,1.1592684368644992e-30,-15.36337155460879,1.1607710141250992e-30,Reject H0,0.9829204019656983,0.5193709761444244,0.9631539447345804,0.05317004891971956,0.01893428513945513,0.8907746955637177,64,64,-1.0312482549980742,0.9082161830903526,0.5063478271038182,0.5135825995757723,-1.9394644380884267,0.12623950616533877,-15.36337155448709,125.99359796056575,1.1607858397626876e-30,-2.189288832675027,-1.6896400435018266,-2.715886052034304,-2.69968792448738,3.6880185238239243
