sampling_mode,sample_size_requested,repetitions,rejection_rate_alpha_0_05,median_p_value,p_value_q1,p_value_q3,mean_cohens_d,std_cohens_d,mean_hedges_g,std_hedges_g,mean_difference_mean,mean_difference_std
per_class,36,500,1.0,1.6795576517405122e-17,9.035208598677249e-19,3.713620247120406e-16,-2.702766023998968,0.2656113952629338,-2.6737040237409144,0.2627553587547302,-1.8905788305722153,0.13728629615190507
per_class,64,500,1.0,2.6082842598078512e-30,1.7835605057238367e-31,4.0357760165358006e-29,-2.704079370355992,0.14571510338473367,-2.6879516603936304,0.14484602722140527,-1.9059420377506997,0.07795991403720985
total_balanced,36,500,1.0,2.3463701285101327e-09,2.620463600255307e-10,1.88307887692429e-08,-2.746412470880046,0.40196992339716087,-2.685381082638267,0.39303725843277953,-1.9059366865813585,0.20659612717749246
total_balanced,64,500,1.0,1.2776649475843894e-15,9.355979414672786e-17,1.9724784451764403e-14,-2.6990129122751676,0.27705894733253805,-2.666231378927696,0.27369385890339787,-1.8935514051412325,0.14170343017312406
