sampling_mode,sample_size_requested,sampling_interpretation,feature,class_a,class_b,random_state,decision_alpha_0_05,n_class_a,n_class_b,mean_class_a,mean_class_b,var_class_a,var_class_b,mean_difference,standard_error,welch_df,student_t_statistic,student_p_value,welch_t_statistic,welch_p_value,ci_95_low,ci_95_high,cohens_d,hedges_g,pairwise_fisher_distance,shapiro_class_a_statistic,shapiro_class_a_p_value,shapiro_class_b_statistic,shapiro_class_b_p_value,levene_statistic,levene_p_value
total_balanced,36,n=36 total samples were drawn as a balanced two-class sample: 18+18.,_HarmonicChangeDetectionFunction_Std,angry,relax,3042,Reject H0,18,18,-1.1371939757734972,0.9557078109931904,0.5908544904860478,0.41117184064316004,-2.0929017867666877,0.23594094495694937,32.940775572825245,-8.870447590809498,2.2874398250865387e-10,-8.870447590809498,3.025858911559026e-10,-2.572960036895889,-1.6128435366374863,-2.9568158635990316,-2.891108844407942,4.371380025623304,0.959238101148962,0.5869874447209535,0.890145532923906,0.038814988759812596,0.08020518517308389,0.7787368067123297
total_balanced,64,n=64 total samples were drawn as a balanced two-class sample: 32+32.,_HarmonicChangeDetectionFunction_Std,angry,relax,4042,Reject H0,32,32,-1.0068335448790098,0.6988516826172787,0.5130932531500261,0.47740294203473516,-1.7056852274962884,0.1759346642919575,61.91960207385601,-9.694992367540275,4.869929296455375e-14,-9.694992367540275,4.9349537610513793e-14,-2.0573826940070132,-1.3539877609855637,-2.423748091881644,-2.3943098559478586,2.9372774064552893,0.9370979136285436,0.06195928197833713,0.9649712876049436,0.37326195182373334,0.13006531127336543,0.7195901912096555
