perplexity,kmeans_k,adjusted_rand_index,normalized_mutual_info,homogeneity,completeness,v_measure,cluster_silhouette
5,4,0.1488314512175075,0.18874227604941976,0.1885761690730007,0.18890867591388638,0.18874227604941976,0.40494847297668457
15,4,0.2079963997564204,0.2362318243493932,0.23579353052078456,0.23667175061654783,0.23623182434939316,0.37494760751724243
30,4,0.2901402618188195,0.3123159022230979,0.31167400195513717,0.3129604519664779,0.3123159022230979,0.3977213501930237
50,4,0.27260178609866303,0.3133421921060816,0.31326708677200876,0.3134173334615824,0.31334219210608155,0.40183335542678833
