feature,multiclass_fisher_score,rank,variant
_Zero-crossingrate_Mean,0.985252211668721,2,duplicate_cleaned_iqr_capped
_HarmonicChangeDetectionFunction_PeriodAmp,0.929150173420396,3,duplicate_cleaned_iqr_capped
_Pulseclarity_Mean,0.6932096985488874,4,duplicate_cleaned_iqr_capped
_Eventdensity_Mean,0.6415414500291831,5,duplicate_cleaned_iqr_capped
_EntropyofSpectrum_Mean,0.4214033988109659,6,duplicate_cleaned_iqr_capped
_Brightness_Mean,0.419162614769239,7,duplicate_cleaned_iqr_capped
_Fluctuation_Mean,0.3949170441186846,8,duplicate_cleaned_iqr_capped
_HarmonicChangeDetectionFunction_Mean,0.37068965280372135,9,duplicate_cleaned_iqr_capped
_MFCC_Mean_1,0.36992481422438145,10,duplicate_cleaned_iqr_capped
_AttackTime_Mean,0.28687918971407755,11,duplicate_cleaned_iqr_capped
_Spectralcentroid_Mean,0.20982349340488762,12,duplicate_cleaned_iqr_capped
_MFCC_Mean_2,0.18957927501329136,13,duplicate_cleaned_iqr_capped
_Spectralskewness_Mean,0.17812877823070855,14,duplicate_cleaned_iqr_capped
_Roughness_Mean,0.1628387878414759,15,duplicate_cleaned_iqr_capped
_Spectralkurtosis_Mean,0.14123771453775988,16,duplicate_cleaned_iqr_capped
_Chromagram_Mean_7,0.1261039554259571,17,duplicate_cleaned_iqr_capped
_Rolloff_Mean,0.12177093599304742,18,duplicate_cleaned_iqr_capped
_Roughness_Slope,0.11620115126650725,19,duplicate_cleaned_iqr_capped
_RMSenergy_Mean,0.10348918561827716,20,duplicate_cleaned_iqr_capped
_MFCC_Mean_4,0.10023674830856132,21,duplicate_cleaned_iqr_capped
_MFCC_Mean_3,0.09266201398528219,22,duplicate_cleaned_iqr_capped
_MFCC_Mean_7,0.09168995892420016,23,duplicate_cleaned_iqr_capped
_HarmonicChangeDetectionFunction_PeriodFreq,0.07784289104521423,24,duplicate_cleaned_iqr_capped
_Chromagram_Mean_11,0.0761888882457107,25,duplicate_cleaned_iqr_capped
_Chromagram_Mean_6,0.07327874489085301,26,duplicate_cleaned_iqr_capped
_Chromagram_Mean_1,0.07230043292714049,27,duplicate_cleaned_iqr_capped
_Chromagram_Mean_2,0.060990240967098645,28,duplicate_cleaned_iqr_capped
_Spectralspread_Mean,0.05631029756783797,29,duplicate_cleaned_iqr_capped
_AttackTime_Slope,0.05263557271133535,30,duplicate_cleaned_iqr_capped
_Chromagram_Mean_12,0.04520016312134194,31,duplicate_cleaned_iqr_capped
_Chromagram_Mean_8,0.04485137166194735,32,duplicate_cleaned_iqr_capped
_MFCC_Mean_6,0.04469378869161646,33,duplicate_cleaned_iqr_capped
_HarmonicChangeDetectionFunction_PeriodEntropy,0.03625506068465546,34,duplicate_cleaned_iqr_capped
_Chromagram_Mean_9,0.03438542464975644,35,duplicate_cleaned_iqr_capped
_Chromagram_Mean_4,0.032274304286524634,36,duplicate_cleaned_iqr_capped
_Tempo_Mean,0.030145548054922124,37,duplicate_cleaned_iqr_capped
_Lowenergy_Mean,0.029987941147891755,38,duplicate_cleaned_iqr_capped
_HarmonicChangeDetectionFunction_Slope,0.025622208442286295,39,duplicate_cleaned_iqr_capped
_MFCC_Mean_9,0.021330466101172733,40,duplicate_cleaned_iqr_capped
_Chromagram_Mean_3,0.020681105727888806,41,duplicate_cleaned_iqr_capped
_MFCC_Mean_11,0.018161574370462154,42,duplicate_cleaned_iqr_capped
_MFCC_Mean_13,0.015832950331501942,43,duplicate_cleaned_iqr_capped
_MFCC_Mean_5,0.01544724819534021,44,duplicate_cleaned_iqr_capped
_Chromagram_Mean_10,0.015318094339842245,45,duplicate_cleaned_iqr_capped
_Chromagram_Mean_5,0.0146588099505175,46,duplicate_cleaned_iqr_capped
_Spectralflatness_Mean,0.010112541785514406,47,duplicate_cleaned_iqr_capped
_MFCC_Mean_8,0.0027219378878524454,48,duplicate_cleaned_iqr_capped
_MFCC_Mean_10,0.002341781727251717,49,duplicate_cleaned_iqr_capped
_MFCC_Mean_12,0.002329795766870799,50,duplicate_cleaned_iqr_capped
