sampling_mode,sample_size_requested,sampling_interpretation,feature,class_a,class_b,random_state,decision_alpha_0_05,n_class_a,n_class_b,mean_class_a,mean_class_b,var_class_a,var_class_b,mean_difference,standard_error,welch_df,student_t_statistic,student_p_value,welch_t_statistic,welch_p_value,ci_95_low,ci_95_high,cohens_d,hedges_g,pairwise_fisher_distance,shapiro_class_a_statistic,shapiro_class_a_p_value,shapiro_class_b_statistic,shapiro_class_b_p_value,levene_statistic,levene_p_value
per_class,36,n=36 samples were drawn from each class.,_HarmonicChangeDetectionFunction_Std,angry,relax,1042,Reject H0,36,36,-1.010549634699263,0.8570084653672615,0.34618985681852976,0.7336264958680929,-1.8675581000665247,0.17319035390500107,62.01624328869539,-10.783268571013625,1.582397741209631e-16,-10.783268571013624,7.444372270923927e-16,-2.2137588808016613,-1.5213573193313878,-2.5416407766363944,-2.514311305919874,3.229968918736181,0.9665905947694903,0.33986502793164697,0.9404591923986144,0.05250005367246635,2.657164903353503,0.10757632635123016
per_class,64,n=64 samples were drawn from each class.,_HarmonicChangeDetectionFunction_Std,angry,relax,2042,Reject H0,64,64,-0.942285064701209,0.8623967956066289,0.43767470183138724,0.4907385631774587,-1.8046818603078378,0.12044275514020433,125.58965562159374,-14.983731136065874,8.969893866449767e-30,-14.983731136065874,9.713648550382998e-30,-2.0430420827929723,-1.5663216378227036,-2.648774473443171,-2.6329766137606074,3.5080031055885645,0.9656161805593607,0.07142894758409671,0.9867034519088622,0.7224962369043195,0.22139153638722966,0.6387951572799729
