method,adjusted_rand_index,normalized_mutual_info,homogeneity,completeness,v_measure,silhouette_score,n_clusters_detected,n_noise_points,occupied_neuron_majority_purity
KMeans_on_PCA2D_k4,0.21669021311869188,0.26648333345612724,0.2651869669271002,0.2677924368251558,0.2664833334561273,0.3845439074736026,4,0,
DBSCAN_on_PCA2D_eps_0.961,0.00798575022279387,0.055558827055745816,0.035354512008297444,0.1296521242189318,0.055558827055745816,0.39438035405123584,2,14,
KMeans_on_tSNE_perplexity_30,0.2901402618188195,0.3123159022230979,0.31167400195513717,0.3129604519664779,0.3123159022230979,0.3977213501930237,4,0,
SOM_neuron_clustering,0.28150940520832607,0.3066467899228823,0.29907003272282273,0.3146174309925831,0.3066467899228823,-0.04779121287620652,4,0,0.7963917525773195
