perplexity,class_based_silhouette_in_tsne_space,class_based_silhouette_note,kmeans_k,method,adjusted_rand_index,normalized_mutual_info,homogeneity,completeness,v_measure,silhouette_score,n_clusters_detected,n_noise_points
5,0.02579345926642418,Uses true labels only to measure visual class separability; this is not a clustering metric.,4,KMeans_on_tSNE_perplexity_5,0.1488314512175075,0.18874227604941976,0.1885761690730007,0.18890867591388638,0.18874227604941976,0.40494847297668457,4,0
15,0.03383340686559677,Uses true labels only to measure visual class separability; this is not a clustering metric.,4,KMeans_on_tSNE_perplexity_15,0.2079963997564204,0.2362318243493932,0.23579353052078456,0.23667175061654783,0.23623182434939316,0.37494760751724243,4,0
30,0.09986153990030289,Uses true labels only to measure visual class separability; this is not a clustering metric.,4,KMeans_on_tSNE_perplexity_30,0.2901402618188195,0.3123159022230979,0.31167400195513717,0.3129604519664779,0.3123159022230979,0.3977213501930237,4,0
50,0.11175085604190826,Uses true labels only to measure visual class separability; this is not a clustering metric.,4,KMeans_on_tSNE_perplexity_50,0.27260178609866303,0.3133421921060816,0.31326708677200876,0.3134173334615824,0.31334219210608155,0.40183335542678833,4,0
