sample_size_per_class,feature,class_a,class_b,t_statistic,p_value,cohens_d,decision_alpha_0_05
36,_HarmonicChangeDetectionFunction_Std,angry,relax,-12.223349847055186,5.439887701172862e-19,-2.881071188552192,Reject H0
64,_HarmonicChangeDetectionFunction_Std,angry,relax,-15.350076696816956,1.4841899145690605e-30,-2.713535831009594,Reject H0
